#tax_id	GeneID	relationship	Other_tax_id	Other_GeneID
9606	368	Ortholog	10090	27421
9606	369	Ortholog	10090	11836
9606	372	Ortholog	10090	213827
9606	373	Ortholog	10090	81003
9606	374	Ortholog	10090	11839
9606	375	Ortholog	10090	11840
9606	377	Ortholog	10090	11842
9606	378	Ortholog	10090	11843
9606	379	Ortholog	10090	80981
9606	381	Ortholog	10090	11844
9606	382	Ortholog	10090	11845
9606	383	Ortholog	10090	11846
9606	384	Ortholog	10090	11847
9606	387	Ortholog	10090	11848
9606	388	Ortholog	10090	11852
9606	389	Ortholog	10090	11853
9606	390	Ortholog	10090	74194
9606	391	Ortholog	10090	56212
9606	392	Ortholog	10090	228359
9606	393	Ortholog	10090	171207
9606	394	Ortholog	10090	11855
9606	395	Ortholog	10090	11856
9606	396	Ortholog	10090	192662
9606	397	Ortholog	10090	11857
9606	398	Ortholog	10090	14570
9606	399	Ortholog	10090	74734
9606	400	Ortholog	10090	104303
9606	401	Ortholog	10090	11859
9606	402	Ortholog	10090	56327
9606	403	Ortholog	10090	56350
9606	405	Ortholog	10090	11863
9606	406	Ortholog	10090	11865
9606	407	Ortholog	10090	170735
9606	408	Ortholog	10090	109689
9606	409	Ortholog	10090	216869
9606	410	Ortholog	10090	11883
9606	411	Ortholog	10090	11881
9606	412	Ortholog	10090	20905
9606	417	Ortholog	10090	11870
9606	419	Ortholog	10090	109979
9606	420	Ortholog	10090	109978
9606	421	Ortholog	10090	11877
9606	427	Ortholog	10090	11886
9606	429	Ortholog	10090	17172
9606	430	Ortholog	10090	17173
9606	433	Ortholog	10090	11890
9606	434	Ortholog	10090	50518
9606	435	Ortholog	10090	109900
9606	438	Ortholog	10090	107626
9606	439	Ortholog	10090	56495
9606	440	Ortholog	10090	27053
9606	443	Ortholog	10090	11484
9606	444	Ortholog	10090	65973
9606	445	Ortholog	10090	11898
9606	460	Ortholog	10090	11899
9606	462	Ortholog	10090	11905
9606	463	Ortholog	10090	11906
9606	466	Ortholog	10090	11908
9606	467	Ortholog	10090	11910
9606	468	Ortholog	10090	11911
9606	471	Ortholog	10090	108147
9606	472	Ortholog	10090	11920
9606	473	Ortholog	10090	68703
9606	474	Ortholog	10090	11921
9606	475	Ortholog	10090	11927
9606	476	Ortholog	10090	11928
9606	478	Ortholog	10090	232975
9606	479	Ortholog	10090	192113
9606	480	Ortholog	10090	27222
9606	481	Ortholog	10090	11931
9606	482	Ortholog	10090	11932
9606	483	Ortholog	10090	11933
9606	486	Ortholog	10090	11936
9606	487	Ortholog	10090	11937
9606	488	Ortholog	10090	11938
9606	489	Ortholog	10090	53313
9606	490	Ortholog	10090	67972
9606	491	Ortholog	10090	11941
9606	492	Ortholog	10090	320707
9606	493	Ortholog	10090	381290
9606	495	Ortholog	10090	11944
9606	496	Ortholog	10090	11945
9606	498	Ortholog	10090	11946
9606	501	Ortholog	10090	110695
9606	506	Ortholog	10090	11947
9606	509	Ortholog	10090	11949
9606	513	Ortholog	10090	66043
9606	514	Ortholog	10090	67126
9606	515	Ortholog	10090	11950
9606	516	Ortholog	10090	11951
9606	517	Ortholog	10090	67942
9606	518	Ortholog	10090	228033
9606	521	Ortholog	10090	11958
9606	522	Ortholog	10090	11957
9606	523	Ortholog	10090	11964
9606	525	Ortholog	10090	110935
9606	526	Ortholog	10090	11966
